Wednesday,16/01/2019,1 USD =,71.0774 INR,
Tuesday,15/01/2019,1 USD =,71.1025 INR,
Monday,14/01/2019,1 USD =,70.7939 INR,
Sunday,13/01/2019,1 USD =,70.378 INR,
Saturday,12/01/2019,1 USD =,70.3791 INR,
Friday,11/01/2019,1 USD =,70.3828 INR,
Thursday,10/01/2019,1 USD =,70.4213 INR,
Wednesday,9/01/2019,1 USD =,70.5598 INR,
Tuesday,8/01/2019,1 USD =,70.1349 INR,
Monday,7/01/2019,1 USD =,69.825 INR,
Sunday,6/01/2019,1 USD =,69.5377 INR,
Saturday,5/01/2019,1 USD =,69.5311 INR,
Friday,4/01/2019,1 USD =,69.5271 INR,
Thursday,3/01/2019,1 USD =,70.1096 INR,
Wednesday,2/01/2019,1 USD =,69.9924 INR,
Tuesday,1/01/2019,1 USD =,69.74 INR,
Monday,31/12/2018,1 USD =,69.5661 INR,
Sunday,30/12/2018,1 USD =,69.9125 INR,
Saturday,29/12/2018,1 USD =,69.925 INR,
Friday,28/12/2018,1 USD =,69.925 INR,
Thursday,27/12/2018,1 USD =,69.9969 INR,
Wednesday,26/12/2018,1 USD =,70.1549 INR,
Tuesday,25/12/2018,1 USD =,70.1241 INR,
Monday,24/12/2018,1 USD =,70.1207 INR,
Sunday,23/12/2018,1 USD =,70.1384 INR,
Saturday,22/12/2018,1 USD =,70.1507 INR,
Friday,21/12/2018,1 USD =,70.141 INR,
Thursday,20/12/2018,1 USD =,70.089 INR,
Wednesday,19/12/2018,1 USD =,70.6956 INR,
Tuesday,18/12/2018,1 USD =,70.4942 INR,
Monday,17/12/2018,1 USD =,71.5933 INR,
Sunday,16/12/2018,1 USD =,71.9222 INR,
Saturday,15/12/2018,1 USD =,71.9639 INR,
Friday,14/12/2018,1 USD =,71.9639 INR,
Thursday,13/12/2018,1 USD =,71.5275 INR,
Wednesday,12/12/2018,1 USD =,71.8411 INR,
Tuesday,11/12/2018,1 USD =,72.3328 INR,
Monday,10/12/2018,1 USD =,72.5164 INR,
Sunday,9/12/2018,1 USD =,71.3722 INR,
Saturday,8/12/2018,1 USD =,71.3751 INR,
Friday,7/12/2018,1 USD =,71.3751 INR,
Thursday,6/12/2018,1 USD =,70.5635 INR,
